Gene	HE6W_1_LA.1	HE6W_1_LA.2	HE6W_1_LA.3	HE6W_1_LA.4	HE6W_1_LA.5	HE6W_1_LA.6	HE6W_1_LA.7	HE6W_1_LA.8	HE6W_1_LA.9	HE6W_1_LA.10	HE6W_1_LA.11	HE6W_1_LA.12	HE6W_1_LA.13	HE6W_1_LA.14	HE6W_1_LA.15	HE6W_1_LA.16	HE6W_1_LA.17	HE6W_1_LA.18	HE6W_1_LA.19	HE6W_1_LA.20	HE6W_1_LA.21	HE6W_1_LA.22	HE6W_1_LA.23	HE6W_1_LA.24	HE6W_1_LA.25	HE6W_1_LA.26	HE6W_1_LA.27	HE6W_1_LA.28	HE6W_1_LA.29	HE6W_1_LA.30	HE6W_1_LA.31	HE6W_1_LA.32	HE6W_1_LA.33	HE6W_1_LA.34	HE6W_1_LA.35	HE6W_1_LA.36	HE6W_1_LA.37	HE6W_1_LA.38	HE6W_1_LA.39	HE6W_1_LA.40	HE6W_1_LA.41	HE6W_1_LA.42	HE6W_1_LA.43	HE6W_1_LA.44	HE6W_1_LA.45	HE6W_1_LA.46	HE6W_1_LA.47	HE6W_1_LA.48
A1BG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.22	0	0	0	0	0	0	4.61	0	0	0	0	0	0	0	0
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	37.3	8.65	0	0	0	0	16.35	0	3.08	0	0	0	129.13	0	0	0	207.03	87.88	0	0	143.95	156.18	0	0	0	0	0	0	0	716.64	26.75	0	0	0	0	0	0	1667.35	262.62	0	0	0	0	0	0	3.74	0
A2M-AS1	0	69.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	0	0	103.76	5.1	146.7	0	97.04	0	0	154.07	0	0	0	0	132.06	7.45	0	0	0	9.55	0	23.99	0	0	6.05	27.87	4.9	72.97	10.57	85.29	179.16	347.71	83.47	134.93	0	31.72	9.29	0	0	87.54	0	719.78	63.25	20.66	0	64.85	3.74	0
AACS	0	0	0	0	0	0	0	0	0	3.08	0	0	0	0	0	0	0	0	0	210.11	9	0	0	0	6.05	0	0	0	0	0	0	5.35	0	0	0	0	0	0	0	9.21	0	0	5.75	53.71	0	0	0	0
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.99	0	0	0	0	0	0	0	0	0	0	0	0	0	15.86	0	0	0	0	16.53	0	0	0	0	0	33.68	10.76
AAED1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	0	0	0	0	46.68	0	0	163.46	0	0	0	9.24	0	0	0	0	0	0	0	0	0	0	0	0	63.47	0	0	0	137.47	0	67.18	0	0	0	0	0	0	0	0	0	8.27	0	0	177.66	23.47	0	0	10.76
AAK1	0	0	0	0	0	0	242.6	0	0	0	39.85	0	212.67	387.4	0	0	235.85	44.36	0	38.2	71.97	191.93	156.18	0	0	162.59	250.07	389.18	0	180.05	0	112.34	127.4	269.86	0	0	0	55.48	148.21	4.61	0	143.96	0	0	0	0	385.41	0
AAMDC	25.01	767.28	0	0	113.36	602.61	16.17	16.35	84.51	354.36	92.99	73.95	11.19	0	0	223.48	0	14.79	0	0	0	0	0	0	6.05	222.98	4.9	0	190.35	1013.99	0	171.18	399.79	494.74	0	31.72	287.98	0	0	4.61	206.69	86.37	86.25	16.53	962.4	237.8	276.9	0
AAMP	62.52	111.89	8.65	137.7	13.34	0	0	16.35	0	0	92.99	9.24	16.79	223.83	0	0	0	0	12.55	0	9	0	0	0	51.38	4.65	73.55	182.43	10.57	0	0	187.23	4.39	0	0	190.32	130.06	0	0	152.04	0	0	97.75	136.34	46.95	281.03	41.16	0
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	0	21.31	0	0	40.01	0	0	0	0	0	112.92	9.24	0	0	4.89	0	0	0	0	133.71	0	0	0	0	60.45	0	122.59	0	0	75.81	0	133.73	0	179.9	0	0	0	0	0	0	0	0	0	41.32	0	21.62	168.38	0
AARD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.13	46.95	64.85	0	10.76
AARS	0	26.64	8.65	0	120.03	0	0	0	0	107.85	0	27.73	16.79	0	146.73	0	0	0	0	0	0	0	0	0	63.47	69.68	29.42	0	0	9.48	134.37	0	0	44.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	0	37.3	0	0	0	0	0	0	0	18.49	0	0	0	60.26	0	0	0	0	0	0	0	0	0	0	0	69.68	0	133.78	0	0	0	0	0	0	0	0	0	0	0	4.61	0	0	0	0	0	0	29.93	0
AARSD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	0	0	0	66.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02	0	0	291.89	0	0	313.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDHPPT	12.5	53.28	8.65	0	226.72	0	0	0	0	46.22	13.28	0	0	301.31	0	7.45	0	0	0	0	188.93	0	0	12.14	27.2	157.95	63.74	12.16	0	47.38	0	0	30.75	0	0	0	65.03	0	0	69.11	504.32	143.96	11.5	57.84	1173.65	432.36	3.74	21.53
AASS	0	0	0	35.7	0	0	129.39	0	0	3.08	0	4.62	313.41	34.44	0	7.45	0	0	0	0	26.99	1823.37	0	0	3.02	102.2	4.9	340.53	0	9.48	0	171.18	0	0	0	111.02	0	7.93	0	9.21	0	0	5.75	8.26	0	21.62	37.42	0
AATBC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	0	0	0	0	40.01	0	0	0	0	0	0	0	0	8.61	0	0	0	0	0	0	0	0	0	0	39.29	0	0	0	0	0	0	0	0	0	0	15.86	9.29	0	185.26	0	165.35	0	0	66.11	0	0	22.45	0
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
